Bruto       AliqINSS     Val.INSS      Base          AliqIR       Val.IR       Liquido 
5900.00    0.00            0.00       5257.66      0.23        324.13            4933.53 
 1415.36    0.08            113.23       1302.13      0.00        0.00            1302.13 
 15000.00    0.00            0.00       14357.66      0.23        2389.83            11967.83 
 2091.56    0.09            188.24       1903.32      0.00        0.00            1903.32 
 2235.00    0.09            201.15       2033.85      0.07        0.00            2033.85 
 2239.00    0.09            201.51       2037.49      0.07        10.01            2027.48 
 20000.00    0.00            0.00       19357.66      0.23        3524.83            15832.83 
 3176.10    0.11            349.37       2826.73      0.15        69.21            2757.52 
 3178.90    0.11            349.68       2829.22      0.15        69.58            2759.64 
 9000.00    0.00            0.00       8357.66      0.23        1027.83            7329.83 
 4214.50    0.11            463.60       3750.90      0.15        207.84            3543.07 
 3176.00    0.11            349.36       2826.64      0.07        69.20            2757.44 
 5241.00    0.11            576.51       4664.49      0.23        413.38            4251.11 
 2093.10    0.09            188.38       1904.72      0.07        0.00            1904.72 
 5242.00    0.11            576.62       4665.38      0.23        189.68            4475.70 
 10000.00    0.00            0.00       9357.66      0.23        1254.83            8102.83 
 4215.00    0.11            463.65       3751.35      0.23        207.92            3543.43 
 6500.00    0.00            0.00       5857.66      0.23        460.33            5397.33 
 12000.00    0.00            0.00       11357.66      0.23        1708.83            9648.83 
 1752.20    0.09            157.70       1594.50      0.00        0.00            1594.50 
 
